timestamp,frame_id,class,confidence,x1,y1,x2,y2,center_x,center_y
2025-10-17 15:29:55,1,car,0.6985772252082825,550.2659912109375,289.90185546875,631.3421630859375,334.376708984375,590.8040771484375,312.1392822265625
2025-10-17 15:29:55,1,car,0.660824716091156,536.8490600585938,331.195068359375,610.3474731445312,360.0,573.5982666015625,345.5975341796875
2025-10-17 15:29:55,1,car,0.6573067307472229,332.4888916015625,125.10678100585938,381.37384033203125,160.75057983398438,356.9313659667969,142.92868041992188
2025-10-17 15:29:55,1,car,0.5829288959503174,475.58270263671875,246.60272216796875,549.6821899414062,287.64862060546875,512.6324462890625,267.12567138671875
2025-10-17 15:29:55,1,car,0.5004803538322449,366.9407958984375,131.2682342529297,415.8975830078125,167.0797576904297,391.419189453125,149.1739959716797
2025-10-17 15:29:55,1,car,0.3949257433414459,294.22442626953125,171.17050170898438,344.78472900390625,202.49221801757812,319.50457763671875,186.83135986328125
2025-10-17 15:29:55,1,car,0.38871559500694275,290.79632568359375,242.68463134765625,338.243408203125,278.75531005859375,314.5198669433594,260.719970703125
2025-10-17 15:29:55,1,car,0.3866606652736664,563.0756225585938,264.9404296875,632.2578735351562,303.017822265625,597.666748046875,283.9791259765625
2025-10-17 15:29:55,1,car,0.31168603897094727,438.87396240234375,84.03570556640625,476.56378173828125,117.96858215332031,457.7188720703125,101.00214385986328
2025-10-17 15:29:55,1,car,0.3002111613750458,449.07757568359375,284.94488525390625,478.25958251953125,308.93817138671875,463.6685791015625,296.9415283203125
2025-10-17 15:29:55,1,car,0.299426406621933,373.9215087890625,195.88255310058594,441.1837158203125,230.59104919433594,407.5526123046875,213.23680114746094
2025-10-17 15:29:55,1,car,0.297396183013916,381.1757507324219,94.27803039550781,422.1631164550781,127.64775085449219,401.66943359375,110.962890625
2025-10-17 15:29:55,1,car,0.29577723145484924,400.32122802734375,107.60773468017578,441.2747802734375,142.28155517578125,420.7980041503906,124.94464492797852
2025-10-17 15:29:55,1,car,0.29538992047309875,327.07122802734375,162.34295654296875,378.10528564453125,193.7896728515625,352.5882568359375,178.06631469726562
2025-10-17 15:29:55,1,motorcycle,0.28430745005607605,483.78570556640625,291.552490234375,526.9515991210938,327.889404296875,505.36865234375,309.720947265625
2025-10-17 15:29:55,1,car,0.27189236879348755,339.82318115234375,96.94740295410156,382.42144775390625,131.76312255859375,361.122314453125,114.35526275634766
2025-10-17 15:29:55,1,person,0.2710319459438324,411.44671630859375,298.54559326171875,423.45294189453125,325.43939208984375,417.4498291015625,311.99249267578125
2025-10-17 15:29:55,1,car,0.2529115080833435,459.9188232421875,148.20486450195312,512.7909545898438,178.45004272460938,486.3548889160156,163.32745361328125
2025-10-17 15:29:56,2,car,0.5915533900260925,545.4368896484375,331.979736328125,619.0716552734375,360.0,582.2542724609375,345.9898681640625
2025-10-17 15:29:56,2,motorcycle,0.5244665741920471,510.5989074707031,286.79058837890625,545.12060546875,328.5418701171875,527.8597564697266,307.6662292480469
2025-10-17 15:29:56,2,car,0.5204272270202637,557.1207275390625,289.2972412109375,639.2266845703125,333.9490966796875,598.1737060546875,311.6231689453125
2025-10-17 15:29:56,2,car,0.46398642659187317,339.70477294921875,124.52243041992188,389.35357666015625,160.19174194335938,364.5291748046875,142.35708618164062
2025-10-17 15:29:56,2,motorcycle,0.42562296986579895,388.9604797363281,240.90670776367188,432.4960632324219,275.4377136230469,410.728271484375,258.1722106933594
2025-10-17 15:29:56,2,motorcycle,0.39385634660720825,441.002197265625,293.26611328125,467.9361572265625,319.7164306640625,454.46917724609375,306.49127197265625
2025-10-17 15:29:56,2,car,0.3810933232307434,373.42578125,130.5294189453125,422.938232421875,167.6790771484375,398.1820068359375,149.104248046875
2025-10-17 15:29:56,2,car,0.36176881194114685,216.80966186523438,165.85971069335938,260.6319274902344,206.9765625,238.72079467773438,186.4181365966797
2025-10-17 15:29:56,2,car,0.3536652624607086,344.5104064941406,97.10005187988281,389.9275207519531,133.32528686523438,367.2189636230469,115.2126693725586
2025-10-17 15:29:56,2,car,0.33317774534225464,388.91168212890625,92.798095703125,445.23785400390625,126.55723571777344,417.07476806640625,109.67766571044922
2025-10-17 15:29:56,2,car,0.3273618817329407,154.33334350585938,96.83551025390625,202.10940551757812,128.1979217529297,178.22137451171875,112.51671600341797
2025-10-17 15:29:56,2,car,0.31966260075569153,301.25860595703125,170.72613525390625,356.81732177734375,201.51785278320312,329.0379638671875,186.1219940185547
2025-10-17 15:29:56,2,car,0.29342371225357056,480.0693664550781,240.76922607421875,557.116943359375,285.1239013671875,518.5931549072266,262.9465637207031
2025-10-17 15:29:56,2,car,0.25316494703292847,445.39337158203125,83.1416015625,487.03985595703125,117.63308715820312,466.21661376953125,100.38734436035156
2025-10-17 15:29:56,3,car,0.6017758846282959,347.0863342285156,126.71379089355469,393.6616516113281,161.0367889404297,370.3739929199219,143.8752899169922
2025-10-17 15:29:56,3,car,0.5647536516189575,308.84637451171875,172.3100128173828,360.87921142578125,202.4246063232422,334.86279296875,187.3673095703125
2025-10-17 15:29:56,3,car,0.4784338176250458,553.15380859375,332.7099609375,627.91357421875,360.0,590.53369140625,346.35498046875
2025-10-17 15:29:56,3,car,0.466928094625473,379.9596862792969,132.33615112304688,429.6363220214844,169.7117919921875,404.7980041503906,151.0239715576172
2025-10-17 15:29:56,3,car,0.3696039319038391,304.34698486328125,240.96139526367188,352.93426513671875,280.3702697753906,328.640625,260.66583251953125
