camera_id,timestamp,car_count,truck_count,bus_count,motorcycle_count,road_area_pixels,vectors_chao_score,congestion_score
587ee2aeb807da0011e33d52,2025-11-27 07:41:34,2,0,0,14,44621,"0,3268549386","0,3167731717"
587ee2aeb807da0011e33d52,2025-11-27 07:41:52,1,0,0,21,47373,"0,4541366305","0,2675017215"
587ee2aeb807da0011e33d52,2025-11-27 07:42:09,2,0,0,9,37746,"0,2790743779","0,4398622779"
587ee2aeb807da0011e33d52,2025-11-27 07:42:27,3,0,0,14,35499,"0,387021376","0,4800922738"
587ee2aeb807da0011e33d52,2025-11-27 07:42:45,3,0,0,10,41338,"0,3975305243","0,3755515769"
587ee2aeb807da0011e33d52,2025-11-27 07:43:03,3,0,0,16,47792,"0,3388771463","0,26"
587ee2aeb807da0011e33d52,2025-11-27 07:43:21,4,0,0,4,40485,"0,1985264637","0,390823578"
587ee2aeb807da0011e33d52,2025-11-27 07:43:39,3,0,0,15,45381,"0,4492997929","0,3031662305"
587ee2aeb807da0011e33d52,2025-11-27 07:43:57,10,0,0,12,26328,"0,4349188893","0,6442886655"
587ee2aeb807da0011e33d52,2025-11-27 07:44:17,3,0,1,24,42970,"0,3458758119","0,3463324611"
587ee2aeb807da0011e33d52,2025-11-27 07:44:35,0,0,0,13,41633,"0,4228817549","0,3702699353"
587ee2aeb807da0011e33d52,2025-11-27 07:44:53,0,0,0,9,43733,"0,4851038929","0,3326718083"
587ee2aeb807da0011e33d52,2025-11-27 07:45:11,3,0,0,22,42377,"0,4109977918","0,356949456"
587ee2aeb807da0011e33d52,2025-11-27 07:45:29,6,0,0,10,29525,"0,1468585551","0,5870499931"
587ee2aeb807da0011e33d52,2025-11-27 07:45:46,2,0,0,9,41298,"0,2837396268","0,3762677317"
587ee2aeb807da0011e33d52,2025-11-27 07:46:04,3,0,0,7,41845,"0,2201033811","0,3664743148"
587ee2aeb807da0011e33d52,2025-11-27 07:46:23,6,0,0,16,21247,"0,4985655402","0,7352582289"
587ee2aeb807da0011e33d52,2025-11-27 07:46:41,3,0,1,18,39282,"0,366295256","0,4123619336"
